t,date,y,filtered_h_plugin,filtered_vol_plugin,filtered_h_postmean,filtered_vol_postmean,filtered_var_postmean,smoothed_h,smoothed_vol,smoothed_var,smoothed_vol_q05,smoothed_vol_q95,ess_filter_plugin
0,2022-08-18,0.01685147,-8.722439872437633,0.012762808336440326,-8.963412942134072,0.011314089505341705,0.23696354767039893,-8.966696455878001,0.011295529760609291,0.203886544549231,0.007845840717733466,0.015912986384371122,1330.2412675710557
1,2022-08-19,0.01146262,-8.906975164990767,0.01163790794672004,-9.142668694356072,0.01034414782027673,0.2767187772113099,-8.969991185415937,0.011276937221386594,0.2069900457297236,0.007845502876432868,0.016102338413671063,1470.127766430482
2,2022-08-22,0.02170938,-8.565711252345299,0.013803189005331964,-8.787690242645173,0.01235313846684855,0.22166993730450607,-8.976392698648944,0.011240900193605038,0.21578018590498574,0.007631174860023113,0.016207224911128085,1108.0667361660915
3,2022-08-23,-0.01374309,-8.826248196962641,0.012117263611249042,-9.066160254976424,0.010747521302701322,0.2691397212862301,-9.015788511570616,0.011021644521276356,0.2330342766306089,0.007487071529401467,0.016025290588618263,1430.4897363621542
4,2022-08-24,0.00824787,-9.002648091815157,0.011094297450119691,-9.251457732248602,0.009796512087214743,0.302083668865311,-9.032369083955427,0.010930649641844105,0.22692162644843927,0.007109784474352585,0.015708452362393325,1471.5722186773407
5,2022-08-25,-0.00188071,-9.131587688512157,0.010401618663170664,-9.379710472466545,0.00918801615180165,0.33198336694880054,-9.027476072551575,0.010957424277313079,0.2323060231524689,0.007157387431439465,0.016317070252792814,1364.5068365393056
6,2022-08-26,-0.01007534,-8.954366002157734,0.011365384377604853,-9.197727573165679,0.010063263266095942,0.2835335198794745,-8.992849756699492,0.011148783631750273,0.23538147429659284,0.007315133671495475,0.01690282567841752,1480.5140365133796
7,2022-08-29,0.01354322,-8.834102380166978,0.01206977132140204,-9.085129500985591,0.01064606700335386,0.2637573010810458,-9.000532033861807,0.011106041750107045,0.23478739096255996,0.007427785549511932,0.0168876867207182,1430.546578556213
8,2022-08-30,-0.00201409,-9.146696644156442,0.010323335930549238,-9.380708917769462,0.009183430430759849,0.32805156783502526,-8.994246207055372,0.011141001987301358,0.24225797714930758,0.007415142822031373,0.01674581294673087,1363.8016764647589
9,2022-08-31,-0.02434484,-8.477185664312413,0.014427880014143668,-8.712739691331612,0.012824859467748022,0.2105253937574435,-8.971483665457274,0.011268525058658049,0.22631791598586376,0.007948114646029607,0.016820544859349536,967.4940226646967
10,2022-09-01,0.00451454,-9.093693512461222,0.01060057794507026,-9.343979631304768,0.009353638980226753,0.31827611401662903,-9.012210757038964,0.011041378536195266,0.24374076258748664,0.007679113474372764,0.016566802131305465,1412.4294708630036
11,2022-09-02,0.00128029,-9.121541053583881,0.01045400075163705,-9.382063299828395,0.009177213599281244,0.3259256180092843,-9.006941382199567,0.011070507473292707,0.2411650948955085,0.007750489105469235,0.016543600115023753,1359.76997056452
12,2022-09-05,-0.01617957,-8.737955610317702,0.012664179212629339,-8.98846751578776,0.011173238741885763,0.24372581082203287,-8.975515848702841,0.011245829565470397,0.2249056687560733,0.007717897440044482,0.016367548399934023,1365.498379537378
13,2022-09-06,0.0028709,-9.089889536368474,0.010620759303874103,-9.365362652703613,0.009254167148604194,0.32855515780376177,-8.987758174893434,0.01117720226229683,0.2160755761028767,0.007751659149233587,0.016914101921888972,1379.452306230878
14,2022-09-07,0.01891881,-8.644576471306479,0.013269485067439097,-8.890615443515651,0.011733494823694854,0.23646417109202228,-8.970777875701295,0.011272502365178022,0.21100294548959944,0.0077160139920233505,0.017027976983536496,1260.309755012349
15,2022-09-08,0.00427256,-9.059414825251825,0.010783830823943779,-9.346089024443822,0.009343778929876366,0.3201418689141662,-8.986952970049956,0.011181703136966628,0.2302438446656699,0.007672148914949068,0.017168236785646208,1406.0041157333671
16,2022-09-09,-0.02246051,-8.512121178968721,0.014178045682510467,-8.770953634582206,0.012456947030296256,0.21478614559423465,-8.967003409679432,0.01129379629073689,0.20424003841225422,0.008172893462929657,0.016924403937803346,1091.863499367306
17,2022-09-12,0.00582555,-9.01749345090441,0.011012252907244429,-9.31488036791167,0.009490725845775242,0.31284327381363286,-8.994724744654052,0.011138336612015702,0.21564841154970074,0.007782863222333389,0.016326173022629797,1434.3035484434483
18,2022-09-13,0.00456738,-9.04493131634293,0.010862208130926887,-9.337350326737791,0.009384694481692223,0.32068586829159584,-8.982102868906914,0.01120885223821623,0.2158080341394104,0.0077547406534606116,0.01647926755834873,1411.0307915402454
