date,returns
2014-01-02,-0.01236493
2014-01-03,0.01225974
2014-01-06,-0.01438896
2014-01-07,-0.00329368
2014-01-08,-0.00937955
2014-01-09,0.0095999
2014-01-10,0.01381181
2014-01-13,-0.01027692
2014-01-14,-0.01174209
2014-01-15,-0.00035931
2014-01-16,-0.00856227
2014-01-17,-0.00185742
2014-01-20,-0.00446963
2014-01-21,0.00539035
2014-01-22,0.00642369
2014-01-23,-0.00623659
2014-01-24,-0.01229862
2014-01-27,0.01831653
2014-01-28,-0.01292003
2014-01-29,0.0099755
2014-01-30,0.00869694
2014-01-31,0.00372591
2014-02-03,0.00353137
2014-02-04,0.00376141
2014-02-05,0.00138246
2014-02-06,0.01051366
2014-02-07,-0.00440351
2014-02-10,-0.00878737
2014-02-11,0.02111269
2014-02-12,0.01304037
2014-02-13,-0.00366968
2014-02-14,0.00730809
2014-02-17,0.01018317
2014-02-18,-0.0053276
2014-02-19,-0.00214703
2014-02-20,-0.01309023
2014-02-21,0.00585201
2014-02-24,0.00807632
2014-02-25,0.00203982
2014-02-26,-0.0032255
2014-02-27,-0.00744934
2014-02-28,-0.00406822
2014-03-03,0.00548353
2014-03-04,0.00042941
2014-03-05,0.00506703
2014-03-06,-0.0007951
2014-03-07,-0.00056417
2014-03-10,-0.01388368
2014-03-11,-0.00875129
2014-03-12,-0.00815199
2014-03-13,0.01219663
2014-03-14,0.00693598
2014-03-17,-0.00145516
2014-03-18,-0.00245045
2014-03-19,-0.0145307
2014-03-20,0.00240591
2014-03-21,-0.012117
2014-03-24,-0.00428994
2014-03-25,0.00049305
2014-03-26,-0.0020385
2014-03-27,0.00195143
2014-03-28,0.01303439
2014-03-31,0.00382737
2014-04-01,-0.01255818
2014-04-02,-0.00934998
2014-04-03,-0.01372438
2014-04-04,-0.00205581
2014-04-07,-0.00956611
2014-04-08,0.0086191
2014-04-09,0.03297714
2014-04-10,-0.01107428
2014-04-11,0.00300586
2014-04-14,-0.00370588
2014-04-15,-0.00101259
2014-04-16,0.00186635
2014-04-17,-0.00995348
2014-04-18,-0.00406446
2014-04-21,0.01618311
2014-04-22,0.00923609
2014-04-23,-0.0101987
2014-04-24,-0.00579154
2014-04-25,-0.00758303
2014-04-28,-0.0088394
2014-04-29,0.00442813
2014-04-30,-0.00013335
2014-05-01,0.0048635
2014-05-02,-0.0119209
2014-05-05,0.00189735
2014-05-06,0.00193388
2014-05-07,0.00320312
2014-05-08,0.00271421
2014-05-09,0.01217998
2014-05-12,0.0172331
2014-05-13,-0.01335218
2014-05-14,0.01725507
2014-05-15,-0.00174776
2014-05-16,0.01658305
2014-05-19,-0.00902763
2014-05-20,-0.00398114
2014-05-21,-0.00147351
2014-05-22,0.01589236
2014-05-23,0.00747296
2014-05-26,-0.00017984
2014-05-27,-0.01113976
2014-05-28,-0.00268516
2014-05-29,-0.01227454
2014-05-30,-0.0043131
2014-06-02,0.00969694
2014-06-03,0.01328825
2014-06-04,-0.00641437
2014-06-05,0.00261488
2014-06-06,-0.01019364
2014-06-09,0.00252673
2014-06-10,0.02165273
2014-06-11,-0.00280489
2014-06-12,-0.00554877
2014-06-13,0.01249581
2014-06-16,-0.00604465
2014-06-17,-0.00109077
2014-06-18,-0.00396938
2014-06-19,-0.00042581
2014-06-20,-0.00994018
2014-06-23,-0.01000634
2014-06-24,0.0141592
2014-06-25,-0.01030416
2014-06-26,0.00333637
2014-06-27,-0.00947527
2014-06-30,0.00790481
2014-07-01,-0.00348687
2014-07-02,-0.01345783
2014-07-03,-0.00233327
2014-07-04,-0.00527949
2014-07-07,0.010788
2014-07-08,0.00398219
2014-07-09,0.00030089
2014-07-10,0.00349013
2014-07-11,0.02131628
2014-07-14,0.00456621
2014-07-15,-0.01145035
2014-07-16,0.00328403
2014-07-17,-0.02008326
2014-07-18,0.00590748
2014-07-21,-0.00513209
2014-07-22,0.00091362
2014-07-23,-0.00088809
2014-07-24,0.00202407
2014-07-25,-0.03137157
2014-07-28,0.00244285
2014-07-29,-0.00428778
2014-07-30,0.00393364
2014-07-31,-0.01854926
2014-08-01,-0.00394336
2014-08-04,-0.01320891
2014-08-05,0.01660142
2014-08-06,0.02274007
2014-08-07,0.00638548
2014-08-08,0.00702548
2014-08-11,-0.00444436
2014-08-12,-0.0108202
2014-08-13,-0.01949341
2014-08-14,-0.00302887
2014-08-15,0.01423844
2014-08-18,0.01527669
2014-08-19,-0.00093345
2014-08-20,-0.00851009
2014-08-21,0.01206532
2014-08-22,-0.0174581
2014-08-25,-0.02085978
2014-08-26,0.0054661
2014-08-27,0.01101718
2014-08-28,0.00492728
2014-08-29,0.00658009
2014-09-01,-0.03397967
2014-09-02,0.00969954
2014-09-03,0.02149965
2014-09-04,0.01266785
2014-09-05,0.01172526
2014-09-08,0.0037698
2014-09-09,0.00436115
2014-09-10,-0.00179167
2014-09-11,0.00566004
2014-09-12,-0.01534171
2014-09-15,0.02190388
2014-09-16,-0.01110532
2014-09-17,0.01210286
2014-09-18,0.0188038
2014-09-19,0.0125838
2014-09-22,0.03522223
2014-09-23,-0.02921356
2014-09-24,-0.00708176
2014-09-25,0.02139963
2014-09-26,-0.01788251
2014-09-29,-0.01012345
2014-09-30,0.00734061
2014-10-01,-0.01891957
2014-10-02,0.00094113
2014-10-03,0.00556115
2014-10-06,0.00195032
2014-10-07,0.00315988
2014-10-08,-0.00875532
2014-10-09,0.00279427
2014-10-10,-0.00492898
2014-10-13,-0.00332956
2014-10-14,0.01149974
2014-10-15,-0.01517092
2014-10-16,-0.02514125
2014-10-17,0.00814751
2014-10-20,0.00233842
2014-10-21,0.01492912
2014-10-22,0.01515518
2014-10-23,-0.00894337
2014-10-24,-0.01547191
2014-10-27,-0.00331901
2014-10-28,0.01858811
2014-10-29,0.00414606
2014-10-30,0.00467738
2014-10-31,-0.01651377
2014-11-03,-0.00559655
2014-11-04,-0.00982394
2014-11-05,0.00420609
2014-11-06,0.00327806
2014-11-07,0.01257936
2014-11-10,-0.01320008
2014-11-11,-0.00294316
2014-11-12,0.00432044
2014-11-13,0.0039331
2014-11-14,0.02465349
2014-11-17,0.0021841
2014-11-18,-0.01029772
