section,date,t,return,h_mean,h_q05,h_q95,vol_mean,vol_q05,vol_q95,ess,parameter,post_mean,post_std,ci_low,ci_high
filtered,2014-01-02,0.0,-0.01236493,-1.2052763238670923,-2.2283659444050903,-0.1800079893291977,0.5473656902852276,0.328183304274841,0.9139275344299685,909.7711298315821,,,,,
filtered,2014-01-03,1.0,0.01225974,-1.3443687257253112,-2.344037220621429,-0.3630976786384351,0.5105920404779967,0.30974106327215356,0.833977513414831,912.6572315509712,,,,,
filtered,2014-01-06,2.0,-0.01438896,-1.512486880581147,-2.487666462936571,-0.5439173086475004,0.4694265477966181,0.28827706459162517,0.7618857611206566,909.7526337651616,,,,,
filtered,2014-01-07,3.0,-0.00329368,-1.6539374808667455,-2.582313257012336,-0.7083760295494858,0.43737307024492367,0.274952581111329,0.7017430168962157,913.9585240286781,,,,,
filtered,2014-01-08,4.0,-0.00937955,-1.7824780585280517,-2.686418441519327,-0.8268991863576642,0.41014725334512164,0.2610066949707083,0.6613648708410085,919.7920503184266,,,,,
filtered,2014-01-09,5.0,0.0095999,-1.937227812566704,-2.851872268987432,-0.924689636843275,0.37960884704665354,0.2402834202915553,0.6298051340834999,920.8891263524941,,,,,
filtered,2014-01-10,6.0,0.01381181,-2.0434644950684526,-2.8699733843885142,-1.0825965581643973,0.35997084118014,0.23811853282878068,0.5819921734146928,930.6018290956879,,,,,
filtered,2014-01-13,7.0,-0.01027692,-2.1336703974153224,-2.9201779562957233,-1.2268805282109132,0.34409579081252983,0.23221561169545998,0.541484810290945,939.0518961285962,,,,,
filtered,2014-01-14,8.0,-0.01174209,-2.2308810226455984,-2.9530747516446243,-1.364316805728247,0.32777086031766006,0.2284272783851616,0.505524688038708,946.3169102177992,,,,,
filtered,2014-01-15,9.0,-0.00035931,-2.3153485386025228,-3.032210427247175,-1.5178631077068583,0.31421611380179476,0.21956538404538425,0.4681663704354815,949.632823257059,,,,,
filtered,2014-01-16,10.0,-0.00856227,-2.368948561028317,-3.084632896670985,-1.5843197137316472,0.30590695848161487,0.2138850734148523,0.4528656133123528,953.8411398647085,,,,,
filtered,2014-01-17,11.0,-0.00185742,-2.402095168886458,-3.1258538430782212,-1.6652268792433977,0.30087885075397464,0.20952191863445746,0.43491118566609777,954.2924265118702,,,,,
filtered,2014-01-20,12.0,-0.00446963,-2.45605642465846,-3.134846283955728,-1.7400781514430295,0.29286948516440425,0.20858197657835673,0.41893517873341934,952.9688532663051,,,,,
filtered,2014-01-21,13.0,0.00539035,-2.507496282153649,-3.2402937410469552,-1.7874980138645413,0.2854329464404937,0.19786963573241179,0.4091190837796456,953.5685141872261,,,,,
filtered,2014-01-22,14.0,0.00642369,-2.56937483469914,-3.3129354071619224,-1.8242887294896541,0.2767370733215321,0.1908117949311939,0.401661990081125,951.1600267054736,,,,,
filtered,2014-01-23,15.0,-0.00623659,-2.6230748722572006,-3.462287297725114,-1.8225944219813488,0.2694055440065819,0.1770817747499222,0.40200240371490786,945.957572755606,,,,,
filtered,2014-01-24,16.0,-0.01229862,-2.706050776706232,-3.539648924234558,-1.9223851484251675,0.2584571433949007,0.17036289134206084,0.38243652996640726,945.526372276858,,,,,
filtered,2014-01-27,17.0,0.01831653,-2.7647287291284792,-3.584413011296143,-1.9838339266894036,0.2509844322796112,0.16659217724764602,0.3708650744150041,943.8866287225916,,,,,
filtered,2014-01-28,18.0,-0.01292003,-2.8247273035719846,-3.5997145249832334,-2.0102478732419753,0.24356689490507927,0.1653224842570094,0.3659992712800061,942.420537022859,,,,,
filtered,2014-01-29,19.0,0.0099755,-2.8872999243090938,-3.6519195472184793,-2.0258812551605323,0.23606455761349945,0.1610629859199035,0.36314952040615794,938.9272845447442,,,,,
filtered,2014-01-30,20.0,0.00869694,-2.9681162349868337,-3.685970626585961,-2.1172620759056535,0.2267157797703472,0.15834401332792944,0.3469304199725954,941.9558955207659,,,,,
