t,y,h_true
0,-0.9068002316682241,-1.0
1,0.8463471428231354,-0.9542924380368353
2,0.5134741771971975,-1.1116612808318045
3,-0.43731649227748465,-0.9957437630358817
4,-0.9799431847677812,-0.8547867426861232
5,-1.666655464580101,-1.151798418703615
6,-0.2777539765330233,-1.3425713921718543
7,1.2553066974473175,-1.3131181899316058
8,0.22129561597560662,-1.3511610330851949
9,-0.2858878294404465,-1.3431463757182822
10,0.22403574106877683,-1.4608085735827707
11,-0.8087727137193187,-1.3150746201458632
12,-0.16407826083403734,-1.1889535912271452
13,0.055325893025444,-1.1733803788561483
14,-0.05224637908808416,-0.999092786445259
15,0.4969831050447656,-0.9289936015140945
16,0.2028581013992535,-1.0600176629011575
17,0.40477196042019586,-1.002904515401748
18,-0.3879998350323319,-1.1466497700640454
19,0.5417058395912824,-1.0104827317660332
20,0.9793159653743383,-1.01765713646099
21,-0.5753748924061022,-1.0448567768989496
22,-0.5005981590827638,-1.1456505052525723
23,0.8274295945438037,-0.9578997892938906
24,-0.11708517679563132,-0.9823422179253942
25,0.8316342996549047,-1.0471211247120984
26,-0.25550894128105855,-1.0985275235439698
27,0.8756179301611996,-1.0157253200046483
28,0.08134346621153461,-0.9604369507498972
29,0.1646775185883822,-0.8997139504880021
30,1.029070470698054,-0.8380993815221797
31,-0.2787054085233316,-0.5217092599459452
32,-0.6982399175446763,-0.5970202346052592
33,-0.3183268911877934,-0.6859460369278321
34,0.30057699777822355,-0.8174335650571787
35,-1.0866655881290557,-0.7305136447191389
36,0.47956643598610016,-0.569252391469431
37,-0.3992779297190104,-0.5992669383735792
38,0.7938997351821713,-0.7373124017667511
39,-1.550599650485706,-0.8688652120674345
40,-0.5338266604548352,-0.7752103375317063
41,-1.206113901996362,-0.6704659017252388
42,-0.6124290794374871,-0.5988787844277025
43,0.1735926090060202,-0.7107388769881755
44,-0.127275599864404,-0.6845925122185224
45,-0.1806578319440233,-0.6765518654808574
46,-0.1148170773092536,-0.6534520200070797
47,0.1557963329922583,-0.5331341427146389
48,-0.7801254201845201,-0.5136007861169973
49,0.5711432804978641,-0.4263557280727032
50,0.5335522210962064,-0.4334281958071885
51,0.31413195884771383,-0.40705744012947526
52,0.4718452266521707,-0.33015248304981
53,0.22304197496338912,-0.5688212815366657
54,1.485391206782952,-0.6297073255441609
55,-0.061026241316358004,-0.7113720039217555
56,-0.20421789158244852,-0.8158625210406041
57,-0.4895255363515167,-0.8626579830933886
58,-0.748626291653761,-0.6425370469154276
59,-0.8412582186279022,-0.7831356028619513
60,-0.6439810657157652,-0.6443997815873707
61,-0.044899152541407285,-0.9074982538821202
62,0.2068039391756013,-0.9605060607635229
63,0.03200743638182751,-0.9372779191748662
64,-0.5001770732638778,-0.8512262318957287
65,0.6189949315025632,-0.7490054579699286
66,0.5375864479728891,-0.637533208950842
67,-0.11246199367221628,-0.7007159735195824
68,-0.4422719984435922,-0.77904726321368
69,0.3948737636332687,-0.6569794631286966
70,0.13273021332955756,-0.695965727967078
71,-0.9250119007504874,-0.8964397046287539
72,-0.03982311457993253,-1.0695395955904132
73,0.14342260567265588,-1.2053712506229426
74,-0.5127239437237197,-1.1246360014961896
75,0.10955568442258662,-1.099533061040719
76,-0.885499626877638,-0.9929742660993321
77,0.7875589092340882,-1.0572729350668324
78,0.7449898360312887,-1.0317737933533202
79,-0.15806224115783324,-0.93698202045762
80,0.2220752749238948,-0.9852745408019271
81,-1.5234756831937872,-0.9172000189442576
82,-0.6947383455285575,-1.0189729095359275
83,-0.17181127096966867,-1.0728617992346103
84,-0.6099866711810937,-1.1279366293573214
85,0.3723003300384022,-1.3034744773149578
86,1.084514418298786,-1.2213243708776718
87,-0.6188415218836171,-1.2850949907817502
88,-0.4427669478390335,-1.2746680232491445
89,0.12958456177499442,-1.194315983715784
90,0.9195910531940235,-1.1215068277998188
91,-0.7347449821347708,-1.0180538566199062
92,0.14862932038928406,-1.0322850635977225
93,1.053527725683757,-1.094811258496414
94,-0.9511138991864037,-1.1039246523774815
95,-0.6509916313964988,-1.3539070778998616
96,-0.19414918169899437,-1.5603567364263289
97,-0.21788867057967423,-1.7419509761866994
98,0.3191307306437267,-1.8692794710413205
99,0.09907856722760926,-1.7832349529015654
100,-0.6879763384280948,-1.8955597626185277
101,0.19681315083261525,-1.9254173528458802
102,-0.2465070229496813,-1.702770587592594
103,0.5352341289799447,-1.73512706562403
104,-0.28164860218612575,-1.6024459183852462
105,-0.2687973971898715,-1.7244151928351703
106,0.22744611134000917,-1.7334983707302596
107,0.3019203706597836,-1.853996727844939
108,0.17510733147378232,-1.8792317873946751
109,-0.7108567725419737,-1.7268086131542257
110,0.20151652011938334,-1.9641024182384512
111,-0.4060515140438415,-1.870015799159419
112,0.09526212237620253,-1.8082549848347949
113,-0.5580640095530203,-1.8731298286442701
114,0.15903410709071575,-2.0638446119432103
115,-0.2936156503467722,-2.0211098474278333
116,-0.4556483422872307,-2.0699004583645686
117,0.2622189952771571,-2.002902012910426
118,0.09026043034271623,-1.9695371306945966
119,-0.2623986869741227,-1.7001841830756215
120,0.615595753370489,-1.7150820017043067
121,-0.17498133694479168,-1.8471541655464572
122,0.013087675271784017,-1.794848195336616
123,0.1127742404912226,-1.7380032468807527
124,-0.2909606429150093,-1.5119850131882644
125,0.23733390571941315,-1.3713587759054298
126,-0.27755693094997275,-1.3066873537558403
127,-0.24012255897095028,-1.0779912994602308
128,0.7279251314616414,-1.2539660186248516
129,-0.5318622150149594,-1.342309767978568
130,-1.1563474805047305,-1.4710268661500396
131,0.755128178624051,-1.5153675306389034
132,1.0861345001970395,-1.7064094268531826
133,-0.18301707383577476,-1.5899445020254266
134,-0.8678529263638133,-1.6055795715294796
135,-0.12572735702010776,-1.8080331285589937
136,-0.10871247506922915,-1.936128996883355
137,-0.07489702200720379,-1.8610180498593252
138,-0.4736310646258554,-1.7094685231793882
139,0.28943586906103363,-1.3886748337302386
140,0.3278289176853572,-0.939935218817232
141,-0.9626558300640494,-0.8795757472613155
142,0.4174323743460451,-1.0316191928482557
143,1.044888210278029,-1.3504775591725042
144,0.08977985051397702,-1.299806513045754
145,-0.16644594412437153,-1.4127534819509302
146,-0.06834117641973193,-1.4626744665193552
147,0.28478522843688575,-1.5406087523827456
148,-0.799119312615186,-1.545509122773721
149,0.08289896047472323,-1.3692468144723628
150,-0.20034273675455067,-1.3346121249213903
151,0.9415995371552776,-1.3483689867295516
152,-0.08255085599972851,-1.4932659800515367
153,0.7023823964787169,-1.7296704423556442
154,-0.4530928477170864,-1.7807265154459746
155,0.242931663062577,-1.7653721026053433
156,0.15260216946572136,-1.4772214524902005
157,-0.42229988044074146,-1.4433636306945616
158,0.09341568552432271,-1.282651795120266
159,0.6176499467064376,-1.3490665810475309
160,-0.15170416580034565,-1.5163361485786586
161,-0.7431052392987041,-1.6456135784561545
162,-0.007376284053301183,-1.7350290807828328
163,-0.44954214030375744,-1.393707748494073
164,-0.16129820846318965,-1.5051045179229086
165,-0.041247494375124025,-1.3641780018247696
166,-0.8102614543383643,-1.4886917384830805
167,-0.8291078770837939,-1.3342950343974516
168,0.25590876599523343,-1.2665235384496485
169,-0.27534688287664694,-1.2820235169448726
170,-1.3525885577465493,-1.2796771903568416
171,0.395730135954542,-1.3695050289605448
172,0.14279442572606715,-1.2915090478694164
173,-0.36329020629967784,-1.351011298484451
174,-0.6145079463906795,-1.5243218240950047
175,0.3571862644306671,-1.7002828055200976
176,0.1528386821616873,-1.6533861336961766
177,1.1849882463372154,-1.3969208612237263
178,0.21276673151813733,-1.3610144933509989
179,0.19563487577427582,-1.3679798074669514
180,-0.08653326589969129,-1.3140664923025613
181,0.469182867922076,-1.1087442362774609
182,0.3656222495831377,-1.0725745339845585
183,0.7107066057642437,-1.1320363825900823
184,-0.3222422728850787,-0.9621319846033967
185,-0.27777322194962295,-0.8989545592960527
186,-0.34244282192620856,-0.6716225237177723
187,0.5702374919438737,-0.6539886824229533
188,0.9805527121128746,-0.8480393767083397
189,-0.2703700571214314,-1.0578220752939393
190,-0.28353413182162107,-0.8084482232004337
191,0.23789191512008184,-0.5556449183869262
192,-0.18243789743698993,-0.5959034528277084
193,0.6825727862117426,-0.6655044474132754
194,-1.7924053276278138,-0.45632267015454686
195,-0.6007044536669219,-0.6386898423564337
196,-0.5287511447014919,-0.7837381999291146
197,-1.6402638452665435,-0.6937270347278846
198,-0.658301590467083,-0.7621059921149865
